Arist(s) Name,Track Name,Album Name,Length,SpotifyID,Release Date
Tiny Moving Parts , Always Focused , Pleasant Living , 00:02:40 , 344bdecUoBiS8nMptO2e8g , 2014-09-09
Modern Baseball , Your Graduation , You're Gonna Miss It All , 00:02:43 , 2J1t2b8xPBqZzj5znx0C7C , 2014-02-11
Modern Baseball , Fine, Great , You're Gonna Miss It All , 00:02:28 , 7hqboBA08HiOvLPd3Ahjod , 2014-02-11
Modern Baseball , Rock Bottom , You're Gonna Miss It All , 00:02:12 , 2fz0ZdAu8kcqdXQ3IuN3YP , 2014-02-11
Tiny Moving Parts , Sundress , Pleasant Living , 00:02:59 , 2J9t0O5wkbfszQ5YkyTAEe , 2014-09-09
Modern Baseball , Everyday , Holy Ghost , 00:03:03 , 6AajWVwSyz54rwaOVaUEMU , 2016-05-13
Tiny Moving Parts , Dakota , This Couch Is Long & Full of Friendship , 00:02:50 , 4Fv7dCXAgNpBoMspOD3sMy , 2013-05-07
Modern Baseball , The Weekend , Sports , 00:03:30 , 1BCMfxB7baD3UuLv0KCqdS , 2012-11-27
Tiny Moving Parts , Boxcar , Pleasant Living , 00:02:26 , 4xJ3iLSL5lKdjeaSqfd34S , 2014-09-09
Twenty One Pilots , Ode to Sleep , Vessel , 00:05:08 , 773xZHHSHJvC1z3AAtWgH6 , 2013-01-08
Modern Baseball , Tears Over Beers , Sports , 00:02:48 , 4G6E84lvx8jJh4lWv7Fecm , 2012-11-27
Tiny Moving Parts , Headache , Celebrate , 00:03:33 , 3Ynb50vH0Dr5znVB2E9bV7 , 2016-05-20
Modern Baseball , Wedding Singer , Holy Ghost , 00:02:47 , 2o3Hhy3lkn5nbD1TqrFv74 , 2016-05-13
Tiny Moving Parts , Happy Birthday , Celebrate , 00:02:51 , 0wAAA2vLsU7iCg4EJ5UgVp , 2016-05-20
Modern Baseball , Re-Do , Sports , 00:02:11 , 5c8nmgU5vm9CyupuKmRaTq , 2012-11-27
Modern Baseball , Just Another Face , Holy Ghost , 00:03:56 , 3LUHxoQ2fdLqSl6mU9925q , 2016-05-13
Tiny Moving Parts , Good Enough , Celebrate , 00:03:12 , 3MK5wjcnkzSJVhpSTu7n7w , 2016-05-20
The Dear Hunter , Whisper , Migrant (Deluxe) , 00:04:00 , 1A4T3cm5mteRN0nz4AiY7P , 2013-04-02
Tiny Moving Parts , Vacation Bible School , This Couch Is Long & Full of Friendship , 00:03:20 , 2aG59MYsrguiyndslgTx9m , 2013-05-07
Twenty One Pilots , Car Radio , Vessel , 00:04:27 , 5cbpoIu3YjoOwbBDGUEp3P , 2013-01-08
Invalids , Diastole , Eunoia , 00:04:30 , 4Zm8nxRszCtq849eSrhI7L , 2013-02-06
Twenty One Pilots , Holding on to You , Vessel , 00:04:23 , 3C3cr2JQwXIhqAHqOardVO , 2013-01-08
The Dear Hunter , This Vicious Place , Migrant (Deluxe) , 00:04:40 , 6yJNoutmsPGuK87mpw5fDV , 2013-04-02
Tiny Moving Parts , Along the Lakeside , This Couch Is Long & Full of Friendship , 00:02:53 , 4s2I8xnHS0IAT9En0Herqt , 2013-05-07
Invalids , School Social , Eunoia , 00:03:51 , 1PNwR8o5b4a8Z66Kbtpul6 , 2013-02-06
The Dear Hunter , An Escape , Migrant (Deluxe) , 00:03:40 , 63KT4C26Woi9wQPbgyEiGC , 2013-04-02
Modern Baseball , The Waterboy Returns , MOBO Presents: The Perfect Cast EP feat. Modern Baseball , 00:02:42 , 6RnuAafLeXEYfSqQ0oB5GC , 2015-10-23
Invalids , Sherwood Is Connector , Strengths , 00:06:25 , 0Z5ezt2wsX7fnip8sBVGlo , 2015-01-07
Modern Baseball , It's Cold Out Here , Couples Therapy , 00:02:56 , 3ahyFcydZjTa2oaeegCyxS , 2015-10-30
The Dear Hunter , Shame , Migrant , 00:04:04 , 40qFVAA3xnEhI9aNwJOy55 , 2013-04-02
Invalids , Satellite , Strengths , 00:06:33 , 0V8DIG05CFgAQzLtHaHQNb , 2015-01-07
Invalids , Steinborgium , Eunoia , 00:05:53 , 3Rh40KSoPUIRRCat6V2G19 , 2013-02-06
Modern Baseball , Hope , Couples Therapy , 00:03:52 , 0OW7MnLVK9gpwdVqKuqcFp , 2015-10-30
Twenty One Pilots , Trapdoor , Twenty One Pilots , 00:04:37 , 4IN3imzEuTsiHO6tOwDQu5 , 2009-12-29
Modern Baseball , Best Friend , The Nameless Ranger , 00:00:49 , 3pMJbveYHRMWC5mZKbTUJD , 2015-10-30
Twenty One Pilots , Addict With A Pen , Twenty One Pilots , 00:04:46 , 4bk6v5SBxNoVsbOvdOvUAJ , 2009-12-29
The Dear Hunter , Lillian - Violet , The Color Spectrum The Complete Collection , 00:04:07 , 53EnBOym6GAgKaawrqjWE5 , 2011-06-14
mouse on the keys , Clinamen , Machinic Phylum , 00:04:27 , 4RLFYLYdEpKLhEodpbRRJC , 2012-12-12
Invalids , Ironic Dysphemism , Strengths , 00:08:04 , 6A6PKaWiGafBJaVcNO4cvM , 2015-01-07
Modern Baseball , Infinity Exposed , MOBO Presents: The Perfect Cast EP feat. Modern Baseball , 00:02:08 , 6iNmkNzci700XskJZN9gSc , 2015-10-23
Invalids , Sixty-eight Degrees at Sundown , Two-hundred-second EP , 00:00:41 , 1ucXY68rbSmzO6INI7L1Xs , 2014-01-01
Twenty One Pilots , March To The Sea , Twenty One Pilots , 00:05:31 , 08ZuYMwYKdxLrGufv125m0 , 2009-12-29
Modern Baseball , The Thrash Particle , MOBO Presents: The Perfect Cast EP feat. Modern Baseball , 00:03:23 , 7dYzMGwxSuRRTvJX93AJcm , 2015-10-23
Invalids , Bismarck , Top Secret Area EP , 00:07:59 , 6V7qyvVcobEvH99YcIlSWQ , 2014-03-04
The Dear Hunter , Rebirth , Act Iv: Rebirth in Reprise , 00:02:51 , 08AiMraVV8SQI9s8mgGCV4 , 2015-09-04
Bayside , Sick, Sick, Sick , Killing Time , 00:03:34 , 0p3YVGafB1214KOw5AokGv , 2011-01-01
Modern Baseball , Alpha Kappa Fall Of Troy The Movie Part Deux , Strength In Weakness , 00:02:56 , 4V3qtNfopFAGSfO7mK3E6W , 2015-02-03
The Dear Hunter , Battesimo Del Fuoco , Act I: The Lake South, The River North , 00:01:56 , 6c3ngf2iALBnougj1u1eqt , 2006-09-26
Bayside , Pigsty , Cult , 00:03:54 , 3ongoHll2Yu9CxO8zjj7jN , 2014-02-18
Invalids , Dolly Zoom , Top Secret Area EP , 00:05:08 , 0RGAOu3CwpwwiZJ5TmxNDM , 2014-03-04
Modern Baseball , Re-Do , Modern Baseball / The Hundred Acre Woods Split , 00:03:18 , 1mTnJ6z6Oc3toxHR22Iw7i , 2014-01-16
Invalids , Telephone Explosions , Permutation EP , 00:05:40 , 46ABzcOlWFKiLRsBWtpvBD , 2015-04-02
The Dear Hunter , The Canopy - Green , The Color Spectrum The Complete Collection , 00:03:53 , 1QmxvFhqTPbrIrIEpRNmvQ , 2011-06-14
Bayside , I Think I'll Be Ok , Shudder (Bonus Track Version) , 00:03:08 , 3lOozTWinqhIbMA9XERODn , 2008
Invalids , Last Floor , Two-hundred-second EP , 00:00:34 , 1UJjSvbAkRK56z3xlfAav9 , 2014-01-01
The Dear Hunter , Things That Hide Away - Green , The Color Spectrum The Complete Collection , 00:03:24 , 2KNTMjK49MVy1O3bPtqB44 , 2011-06-14
Invalids , Leaving the Atmosphere , Two-hundred-second EP , 00:00:33 , 5hOLeOmL2lAZtte1yvtOsN , 2014-01-01
Modern Baseball , Short , The Nameless Ranger , 00:01:40 , 2t52O2l1Ou4xoO7YtG2iR1 , 2015-10-30
Modern Baseball , 240 , Modern Baseball / The Hundred Acre Woods Split , 00:02:19 , 3RXzJTQuTvtWO0kdmqMDC7 , 2014-01-16
Bayside , Winter , Acoustic , 00:04:28 , 7c5wDphtY8uiGiKG6y97J2 , 2006
Modern Baseball , My Love , The Nameless Ranger , 00:03:33 , 75BGEsL0HhgqzR9y9tpHVv , 2015-10-30
Bayside , Stuttering , Cult , 00:03:54 , 2n1UwxVL9c6fbUmhIpmJFC , 2014-02-18
mouse on the keys , Plateau , Machinic Phylum , 00:03:15 , 4PyQtz9EUQgQ5jTZ0bgAB2 , 2012-12-12
The Dear Hunter , Ouroboros , Act Iv: Rebirth in Reprise , 00:05:25 , 25jwpauhpOvbjDkNHIKhlB , 2015-09-04
Bayside , Devotion and Desire , Bayside , 00:03:29 , 5colqK4X2utxb1opX2TF0b , 2005
The Dear Hunter , The Old Haunt , Act Iv: Rebirth in Reprise , 00:04:36 , 3CcUIGdidSKMjdW6VyI3Vq , 2015-09-04
Tiny Moving Parts , Fair Trade , Old Gray & Tiny Moving Parts , 00:03:11 , 78oELBlW1qgWyUsC1Wxbp7 , 2014
The Dear Hunter , City Escape , Act I: The Lake South, The River North , 00:05:56 , 6tfTjSuYPsLcExSBAR3DrD , 2006-09-26
Bayside , The Whitest Lie , Cult , 00:03:45 , 0BJSOF0vSXS7zyl6irSIug , 2014-02-18
Invalids , RC PRO JAM (an0va cover) , Permutation EP , 00:05:02 , 6wggeps7nWO6C66eS0dqzH , 2015-04-02
The Dear Hunter , Father , Act III: Life And Death , 00:03:25 , 6C7TxqThZCuCA8klSkwsn9 , 2009-06-23
Ken Ashcorp , Burgz , Burgz , 00:03:54 , 2GMRcF3Mgzoz8d7fJjf7zG , 2014-07-29
Twenty One Pilots , Polarize , Blurryface , 00:03:46 , 6GmkJJMe9U1tEcrJ3Hq3A1 , 2015-05-15
Ken Ashcorp , Wear , Wear , 00:05:23 , 6JDbZwrCvhsgWqN16ihBJd , 2015-06-13
Modern Baseball , The Quark , Asian Man Music for Asian Man People Vol 2 , 00:02:54 , 1lyCU39IIa9czXn4ArhYED , 2016-06-10
The Dear Hunter , Go Get Your Gun , Act III: Life And Death , 00:03:15 , 3JdJIrVP3QBSA8L1RSdUho , 2009-06-23
mouse on the keys , Aom , Machinic Phylum , 00:03:46 , 2gwBUDFbUlX24V38pMC0FD , 2012-12-12
The Dear Hunter , The Thief , Live , 00:04:47 , 0UfdpRf8kyx9b7Py4ypdwA , 2015-03-03
The Dear Hunter , The Inquiry Of Ms. Terri , Act I: The Lake South, The River North , 00:05:56 , 7MZ36iVSxTgFWjFTx4Rq2h , 2006-09-26
Bayside , Head On a Plate , The Walking Wounded (Gold Edition) , 00:04:03 , 2T72EskPIfHFOSLX0DGzGa , 2007
The Dear Hunter , The Thief , Act III: Life And Death , 00:05:01 , 1mtqSm1apPn7o69P10L9L8 , 2009-06-23
Tiny Moving Parts , Swimming Lessons , Old Gray & Tiny Moving Parts , 00:03:16 , 0Y2l9BpAEcrn2gdhX71DBA , 2014
Bayside; Josh Caterer , MEGAN (feat. JOSH CATERER) , Acoustic , 00:03:25 , 1qSD5dAKS7kprGWv7NVWVw , 2006
The Dear Hunter , Red Hands , Act II: The Meaning Of, And All Things Regarding Ms. Leading , 00:06:07 , 0qhNkwbSO6HhNHLTYTTIJf , 2007-05-22